ratID,delayMeas,ratAccCat
21-12,meas1,0.806451612903226
21-13,meas1,0.75
21-14,meas1,0.727272727272727
21-33,meas1,0.722222222222222
21-15,meas1,0.904761904761905
21-16,meas1,0.710526315789474
21-21,meas1,0.693548387096774
21-37,meas1,0.777777777777778
21-12,meas2,0.611111111111111
21-13,meas2,0.695652173913043
21-14,meas2,0.75
21-33,meas2,0.741935483870968
21-15,meas2,0.75
21-16,meas2,0.769230769230769
21-21,meas2,0.729166666666667
21-37,meas2,0.909090909090909
21-12,meas3,0.703703703703704
21-13,meas3,0.743589743589744
21-14,meas3,0.653061224489796
21-33,meas3,0.636363636363636
21-15,meas3,0.678571428571429
21-16,meas3,0.742857142857143
21-21,meas3,0.679245283018868
21-37,meas3,0.833333333333333
21-12,meas4,0.678571428571429
21-13,meas4,0.523809523809524
21-14,meas4,0.58974358974359
21-33,meas4,0.666666666666667
21-15,meas4,0.666666666666667
21-16,meas4,0.631578947368421
21-21,meas4,0.711111111111111
21-37,meas4,0.714285714285714
21-12,meas5,0.71875
21-13,meas5,0.722222222222222
21-14,meas5,0.666666666666667
21-33,meas5,0.666666666666667
21-15,meas5,0.684210526315789
21-16,meas5,0.724137931034483
21-21,meas5,0.617021276595745
21-37,meas5,0.777777777777778
21-12,meas6,0.59375
21-13,meas6,0.526315789473684
21-14,meas6,0.605263157894737
21-33,meas6,0.833333333333333
21-15,meas6,0.714285714285714
21-16,meas6,0.657142857142857
21-21,meas6,0.666666666666667
21-37,meas6,0.833333333333333
